GEO.DAT         2.0             Header structure with coordinate parameters
   1
Tiny synthetic demo domain for py-calmet goldens
UTM
  19N
WGS-84  06-15-2020
      12      12     400.000    4900.000       1.000       1.000
KM  M
0                 -  LAND USE DATA  - IOPT1:  0=DEFAULT CATEGORIES  1=NEW CATEGORIES
    20    20    20    20    20    20    20    20    20    20    20    20
    20    20    20    20    20    20    20    20    20    20    20    20
    20    20    20    20    20    20    20    20    20    20    20    20
    20    20    20    20    20    20    20    20    20    20    20    20
    20    20    20    20    20    20    20    20    20    20    20    20
    20    20    20    20    20    20    20    20    20    20    20    20
    20    20    20    20    20    20    20    20    20    20    20    20
    20    20    20    20    20    20    20    20    20    20    20    20
    20    20    20    20    20    20    20    20    20    20    20    20
    20    20    20    20    20    20    20    20    20    20    20    20
    20    20    20    20    20    20    20    20    20    20    20    20
    20    20    20    20    20    20    20    20    20    20    20    20
1.0               -  TERRAIN HEIGHTS - HTFAC
   150.0   155.0   160.1   165.1   170.2   175.2   180.2   185.1   190.1   195.0   200.0   205.0
   153.0   158.1   163.3   168.5   173.8   178.9   183.8   188.5   193.3   198.1   203.0   208.0
   156.1   161.4   166.9   172.6   178.4   183.7   188.4   192.6   196.9   201.4   206.1   211.0
   159.3   164.9   171.1   177.9   184.7   190.5   194.7   197.9   201.1   204.9   209.3   214.1
   162.5   168.6   175.9   184.4   192.7   199.1   202.7   204.4   205.9   208.6   212.5   217.1
   165.8   172.4   180.7   190.7   200.6   207.6   210.6   210.7   210.7   212.4   215.8   220.2
   168.9   175.7   184.5   195.1   205.6   213.0   215.6   215.1   214.5   215.7   218.9   223.2
   171.8   178.4   186.7   196.7   206.6   213.6   216.6   216.7   216.7   218.4   221.8   226.2
   174.5   180.6   187.9   196.4   204.7   211.1   214.7   216.4   217.9   220.6   224.5   229.1
   177.3   182.9   189.1   195.9   202.7   208.5   212.7   215.9   219.1   222.9   227.3   232.1
   180.1   185.4   190.9   196.6   202.4   207.7   212.4   216.6   220.9   225.4   230.1   235.0
   183.0   188.1   193.3   198.5   203.8   208.9   213.8   218.5   223.3   228.1   233.0   238.0
0 - IOPT2 (z0)   -- (0=default z0-lu table,    1=new z0-lu table,    2=gridded)
0 - IOPT3 (alb) -- (0=default albedo-lu table,1=new albedo-lu table,2=gridded)
0 - IOPT4 (Bo)  -- (0=default Bowen-lu table, 1=new Bowen-lu table, 2=gridded)
0 - IOPT5 (HCG) -- (0=default HCG-lu table,   1=new HCG-lu table,   2=gridded)
0 - IOPT6 (QF)  -- (0=default QF-lu table,    1=new QF-lu table,    2=gridded)
0 - IOPT7 (LAI) -- (0=default XLAI-lu table,  1=new XLAI-lu table,  2=gridded)
